LCSC Part Number,Manufacture Part Number,Manufacturer,Customer NO.,Package,Description,RoHS,Quantity,Unit Price(€),Ext.Price(€),Estimated lead time (business days),Date Code / Lot No.,Status
C1525,CL05B104KO5NNNC,Samsung Electro-Mechanics,,0402,16V 100nF X7R ±10% 0402 Ceramic Capacitors RoHS,YES,100,0.0011,0.11,,,-
C622611,USB2422T/MJ,MICROCHIP,,QFN-24-EP(4x4),Hub USB 2.0 QFN-24-EP(4x4) Interface Controllers RoHS,YES,5,1.3923,6.96,,,-
C15999,USBLC6-2P6,ST,,SOT-666-6,5A@8/20us 17V 6V Unidirectional 5.25V SOT-666-6 TVS Diodes RoHS,YES,10,0.1607,1.61,,,-
C25905,0402WGF5101TCE,UNI-ROYAL,,0402,5.1kΩ 62.5mW 50V ±100ppm/℃ Thick Film Resistor ±1% 0402 Chip Resistor - Surface Mount RoHS,YES,100,0.0005,0.05,,,-
C2345,902-131A1011D10100,Jing Extension of the Electronic Co.,,Through Hole,"USB 2.0 1 4P Type-A Through Hole USB, DVI, HDMI Connector Assemblies RoHS",YES,10,0.0423,0.42,,,-
C138033,RC0402FR-071ML,YAGEO,,0402,62.5mW 1MΩ 50V ±100ppm/℃ Thick Film Resistor ±1% 0402 Chip Resistor - Surface Mount RoHS,YES,100,0.0007,0.07,,,-
C52923,CL05A105KA5NQNC,Samsung Electro-Mechanics,,0402,25V 1uF X5R ±10% 0402 Ceramic Capacitors RoHS,YES,100,0.0027,0.27,,,-
C60490,RC0402FR-0710KL,YAGEO,,0402,62.5mW 10kΩ 50V ±100ppm/℃ Thick Film Resistor ±1% 0402 Chip Resistor - Surface Mount RoHS,YES,100,0.0006,0.06,,,-
C25752,0402WGF1202TCE,UNI-ROYAL,,0402,62.5mW 12kΩ 50V ±100ppm/℃ Thick Film Resistor ±1% 0402 Chip Resistor - Surface Mount RoHS,YES,100,0.0006,0.06,,,-
C60491,RC0402FR-07100KL,YAGEO,,0402,100kΩ 62.5mW 50V ±100ppm/℃ Thick Film Resistor ±1% 0402 Chip Resistor - Surface Mount RoHS,YES,100,0.0006,0.06,,,-
C524558,GJM1555C1H140GB01D,muRata,,0402,50V 14pF C0G ±2% 0402 Ceramic Capacitors RoHS,YES,20,0.032,0.64,,,-
C70590,X322524MOB4SI,YXC Crystal Oscillators,,SMD3225-4P,Crystal Oscillator 12pF SMD3225-4P Crystals RoHS,YES,10,0.0585,0.59,,,-
C25854,0402WGF1372TCE,UNI-ROYAL,,0402,62.5mW 13.7kΩ 50V ±100ppm/℃ Thick Film Resistor ±1% 0402 Chip Resistor - Surface Mount RoHS,YES,100,0.0006,0.06,,,-
C2933105,FRC0402F5231TS,FOJAN,,0402,5.23kΩ 62.5mW 50V ±100ppm/℃ Thick Film Resistor ±1% 0402 Chip Resistor - Surface Mount RoHS,YES,100,0.0005,0.05,,,-
C77101,GRM32ER61C476KE15L,muRata,,1210,16V 47uF X5R ±10% 1210 Ceramic Capacitors RoHS,YES,5,0.1291,0.65,,,-
C86295,CL10A226MP8NUNE,Samsung Electro-Mechanics,,0603,10V 22uF X5R ±20% 0603 Ceramic Capacitors RoHS,YES,10,0.013,0.13,,,-
C76971,GRM1555C1H471JA01D,muRata,,0402,50V 470pF C0G ±5% 0402 Ceramic Capacitors RoHS,YES,100,0.0026,0.26,,,-
C19268642,CYA0850-3.3UH,SHOU HAN,,"SMD,9.2x8mm","10A 3.3uH Molded Inductor ±20% 15A SMD,9.2x8mm Fixed Inductors RoHS",YES,5,0.3598,1.80,,,-
C96446,CL10A106MA8NRNC,Samsung Electro-Mechanics,,0603,25V 10uF X5R ±20% 0603 Ceramic Capacitors RoHS,YES,10,0.0152,0.15,,,-
C5440953,SY8156IADC,Silergy,,TSOT23-6,Buck 400kHz 6A Fixed 3.3V 1 TSOT23-6 Voltage Regulators - DC DC Switching Regulators RoHS,YES,5,0.2135,1.07,,,-
C22463820,SL0630-3R3M,TECHFUSE,,"SMD,7.1x6.6mm","8.5A 3.3uH ±20% 9.5A SMD,7.1x6.6mm Fixed Inductors RoHS",YES,5,0.0696,0.35,,,-
C163478,RC0402FR-0722K1L,YAGEO,,0402,22.1kΩ 62.5mW 50V ±100ppm/℃ Thick Film Resistor ±1% 0402 Chip Resistor - Surface Mount RoHS,YES,100,0.0007,0.07,,,-
C84256,NCD0805R1,NATIONSTAR,,0805,25mA 195mcd 615nm~630nm Red 65mW 1.6V~2.6V 0805 LED Indication - Discrete RoHS,YES,50,0.012,0.60,,,-
C106235,RC0402FR-071KL,YAGEO,,0402,1kΩ 62.5mW 50V ±100ppm/℃ Thick Film Resistor ±1% 0402 Chip Resistor - Surface Mount RoHS,YES,100,0.0006,0.06,,,-
C1603,CL10B221KB8NNNC,Samsung Electro-Mechanics,,0603,50V 220pF X7R ±10% 0603 Ceramic Capacitors RoHS,YES,100,0.0046,0.46,,,-
C7427429,SY8308RBC,Silergy,,QFN-20,Buck 8A Adjustable 1 QFN-20 Voltage Regulators - DC DC Switching Regulators RoHS,YES,2,1.2847,2.57,,,-
C69335,CL10A475KA8NQNC,Samsung Electro-Mechanics,,0603,25V 4.7uF X5R ±10% 0603 Ceramic Capacitors RoHS,YES,10,0.013,0.13,,,-
C163471,RC0402FR-07360KL,YAGEO,,0402,62.5mW 360kΩ 50V ±100ppm/℃ Thick Film Resistor ±1% 0402 Chip Resistor - Surface Mount RoHS,YES,100,0.0007,0.07,,,-
C17710,0805W8F4700T5E,UNI-ROYAL,,0805,125mW 470Ω 150V ±100ppm/℃ Thick Film Resistor ±1% 0805 Chip Resistor - Surface Mount RoHS,YES,100,0.0017,0.17,,,-
C77092,GRM31CR61H106KA12L,muRata,,1206,50V 10uF X5R ±10% 1206 Ceramic Capacitors RoHS,YES,10,0.0594,0.59,,,-
